url	first_seen	portal	title	company	status
https://jobs.lever.co/arcadia/03edbcd0-29b0-49d5-bf1c-c843013e1422	2026-04-11	Lever — Senior PM Healthcare AI	Senior Product Manager	Arcadia	added
https://jobs.lever.co/dexcarehealth/a8ebecdd-d36e-470f-9edb-4243c52d8121	2026-04-11	Lever — Senior PM Healthcare AI	Senior Product Manager	DexCare	added
https://jobs.lever.co/caremessage/553950dc-9db0-49e8-bd5e-5fb8d36503fd	2026-04-11	Lever — Senior PM Healthcare AI	Senior Product Manager - Data & Interoperability	CareMessage	added
https://jobs.lever.co/kaiahealth/b54ce003-845d-4a03-ae6b-f8e0d17c0f0c	2026-04-11	Lever — Senior PM Healthcare AI	Director of Product	Kaia Health	added
https://jobs.lever.co/swordhealth/71759e08-614f-4518-b4da-ae45bb1e0632	2026-04-11	Lever — Senior PM Healthcare AI	Senior Product Manager, Consumer Growth	Sword Health	added
https://job-boards.greenhouse.io/coherehealth/jobs/7598931003	2026-04-16	greenhouse-api	Director, Data & AI	Cohere Health	added
https://job-boards.greenhouse.io/coherehealth/jobs/7568249003	2026-04-16	greenhouse-api	Sr Claims Auditor	Cohere Health	added
http://www.onemedical.com/careers/all-departments/7697399?gh_jid=7697399	2026-04-16	greenhouse-api	Early Career - Family Medicine Physician - Sign - On Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7638125?gh_jid=7638125	2026-04-16	greenhouse-api	Early career - Primary Care Physician - Adult Medicine MD or DO - Sign-on Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7671662?gh_jid=7671662	2026-04-16	greenhouse-api	Family Medicine Physician (Cow Hollow) - Sign-On Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7671663?gh_jid=7671663	2026-04-16	greenhouse-api	Family Medicine Physician (Laurel Heights) - Sign-On Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7671664?gh_jid=7671664	2026-04-16	greenhouse-api	Family Medicine Physician (Noe Valley) - Sign-On Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7683368?gh_jid=7683368	2026-04-16	greenhouse-api	Family Medicine Physician - Sign on Bonus available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7699158?gh_jid=7699158	2026-04-16	greenhouse-api	Family Medicine Physician - Sign-On Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7778328?gh_jid=7778328	2026-04-16	greenhouse-api	Family Medicine Physician- Sign On Bonus Available	Amazon Health (One Medical)	added
http://www.onemedical.com/careers/all-departments/7671678?gh_jid=7671678	2026-04-16	greenhouse-api	Family Medicine Physician (West Portal)- Sign-On Bonus Available	Amazon Health (One Medical)	added
